IS_Number,Title,Section,Year_Notified,ICS_Code,Status,Applicable_To,Scope_Description
IS 1745-4:2007,Specification for,Food and Agricu,2007,23.028,Withdrawn,salt for human co,Applicable to salt for human consumption manufact
IS 833-6:1991,Methods of test f,Electrotechnical,1991,17.062,Active,transformers,"Applicable to transformers manufactured, tested, or"
IS 570-6:2009,Specification for,Metallurgical Eng,2009,34.044,Active,steel tubes and p,"Applicable to steel tubes and pipes manufactured, t"
IS 1823-3:2018,General requirem,Water Resources,2018,64.097,Under Revision,water pumps for,Applicable to water pumps for irrigation manufactur
IS 563-3:1992,Performance req,Metallurgical Eng,1992,98.02,Withdrawn,forged componen,"Applicable to forged components manufactured, tes"
IS 4058-6:2007,Quality requirem,Civil Engineering,2007,37.077,Active,road aggregates,"Applicable to road aggregates manufactured, tested"
IS 605-3:1994,Sampling and tes,Metallurgical Eng,1994,34.081,Active,steel tubes and p,"Applicable to steel tubes and pipes manufactured, t"
IS 815-6:2001,Code of practice,Electrotechnical,2001,73.077,Active,switches and soc,"Applicable to switches and sockets manufactured, t"
IS 2980:2010,Classification an,Electronics and I,2010,96.071,Under Revision,LED lighting prod,"Applicable to LED lighting products manufactured,"
IS 1737-2:2005,Specification for,Food and Agricu,2005,10.017,Active,edible vegetable,"Applicable to edible vegetable oils manufactured, te"
IS 1245-6:2015,Safety requireme,Production and G,2015,60.098,Withdrawn,industrial packag,Applicable to industrial packaging crates manufactu
IS 3941-4:2017,Guidelines for pr,Textile,2017,28.095,Active,protective clothin,"Applicable to protective clothing manufactured, test"
IS 3789:2004,Specification for,Medical Equipme,2004,26.095,Active,surgical instrume,"Applicable to surgical instruments manufactured, te"
IS 3672-3:2018,General requirem,Transport Engine,2018,49.021,Under Revision,child safety seats,"Applicable to child safety seats manufactured, teste"
IS 3685-2:2015,Methods of test f,Transport Engine,2015,79.039,Active,vehicle safety be,"Applicable to vehicle safety belts manufactured, tes"
IS 1769-6:2019,Guidelines for inf,Food and Agricu,2019,51.083,Under Revision,infant milk food,"Applicable to infant milk food manufactured, tested"
IS 366:2014,Quality requirem,Mechanical Engi,2014,94.092,Active,boilers,"Applicable to boilers manufactured, tested, or sold"
IS 1748:2002,Specification for,Food and Agricu,2002,36.035,Active,pulses,"Applicable to pulses manufactured, tested, or sold"
IS 1853-5:2002,Sampling and tes,Water Resources,2002,65.099,Under Revision,groundwater rech,Applicable to groundwater recharge structures man
IS 2994-3:2004,Quality requirem,Electronics and I,2004,74.062,Active,printed circuit bo,"Applicable to printed circuit boards manufactured, t"
IS 4068-6:1999,Methods of test f,Civil Engineering,1999,37.043,Active,road aggregates,"Applicable to road aggregates manufactured, tested"
IS 807-4:1999,Specification for,Electrotechnical,1999,96.05,Withdrawn,batteries and cel,"Applicable to batteries and cells manufactured, test"
IS 1248-5:2014,Classification an,Production and G,2014,22.074,Active,material handling,Applicable to material handling equipment manufac
IS 4037:2004,Safety requireme,Civil Engineering,2004,42.05,Withdrawn,tiles and flooring,"Applicable to tiles and flooring manufactured, tested"
IS 3667-6:2015,Classification an,Transport Engine,2015,49.026,Under Revision,child safety seats,"Applicable to child safety seats manufactured, teste"
IS 562-4:2007,Specification for,Metallurgical Eng,2007,31.068,Under Revision,cast iron product,"Applicable to cast iron products manufactured, test"
IS 798:2018,Specification for,Electrotechnical,2018,77.068,Active,household electr,Applicable to household electrical appliances manu
IS 3002-3:1996,Guidelines for lap,Electronics and I,1996,94.083,Active,laptop batteries,"Applicable to laptop batteries manufactured, tested"
IS 3813:2008,Code of practice,Medical Equipme,2008,67.058,Withdrawn,hospital furniture,"Applicable to hospital furniture manufactured, teste"
IS 3656-3:2000,Specification for,Transport Engine,2000,25.078,Active,automotive lightin,"Applicable to automotive lighting manufactured, tes"
IS 2973-4:2001,Safety requireme,Electronics and I,2001,96.017,Active,USB cables and,Applicable to USB cables and connectors manufac
IS 1771-2:2007,Guidelines for ho,Food and Agricu,2007,44.097,Active,honey,"Applicable to honey manufactured, tested, or sold i"
IS 1759-2:2023,General requirem,Food and Agricu,2023,19.047,Under Revision,food colours,"Applicable to food colours manufactured, tested, or"
IS 1924-2:2001,Methods of test f,Chemical,2001,77.035,Active,pesticides,"Applicable to pesticides manufactured, tested, or so"
IS 1921:2006,Guidelines for lub,Chemical,2006,50.012,Withdrawn,lubricating oils,"Applicable to lubricating oils manufactured, tested,"
IS 3796-2:1997,Specification for,Medical Equipme,1997,29.062,Active,medical thermom,"Applicable to medical thermometers manufactured,"
IS 1824-4:2019,General requirem,Water Resources,2019,10.076,Withdrawn,rainwater harves,Applicable to rainwater harvesting systems manufa
IS 1888-2:2005,Specification for,Chemical,2005,29.036,Active,detergents and s,"Applicable to detergents and soaps manufactured,"
IS 567-5:2008,Safety requireme,Metallurgical Eng,2008,59.059,Under Revision,metal coatings,"Applicable to metal coatings manufactured, tested,"
IS 3017-6:1997,Performance req,Electronics and I,1997,94.06,Active,laptop batteries,"Applicable to laptop batteries manufactured, tested"
IS 1759-6:2007,Code of practice,Food and Agricu,2007,51.065,Under Revision,infant milk food,"Applicable to infant milk food manufactured, tested"
IS 4128-3:2000,Sampling and tes,"Petroleum, Coal",2000,12.022,Active,transformer oil,"Applicable to transformer oil manufactured, tested,"
IS 597:2006,Sampling and tes,Metallurgical Eng,2006,31.076,Under Revision,cast iron product,"Applicable to cast iron products manufactured, test"
IS 3942-3:1996,Methods of test f,Textile,1996,83.058,Active,synthetic fibres,"Applicable to synthetic fibres manufactured, tested,"
IS 3927-6:2007,Code of practice,Textile,2007,83.056,Active,synthetic fibres,"Applicable to synthetic fibres manufactured, tested,"
IS 810:2016,Specification for,Electrotechnical,2016,76.097,Active,electrical insulati,Applicable to electrical insulating materials manufac
IS 3837-3:2000,Performance req,Medical Equipme,2000,69.056,Under Revision,wheelchairs,"Applicable to wheelchairs manufactured, tested, or"
IS 806-3:2012,Specification for,Electrotechnical,2012,56.034,Under Revision,power cables,"Applicable to power cables manufactured, tested, o"
IS 3010-5:1990,Guidelines for ele,Electronics and I,1990,55.026,Under Revision,electronic point o,Applicable to electronic point of sale terminals man
IS 455-3:2002,Methods of test f,Management and,2002,46.062,Active,occupational hea,Applicable to occupational health and safety manag
IS 814-5:2014,Code of practice,Electrotechnical,2014,21.054,Active,electrical wiring a,Applicable to electrical wiring accessories manufac
IS 3698-3:1994,Methods of test f,Transport Engine,1994,49.086,Withdrawn,aircraft ground eq,Applicable to aircraft ground equipment manufactur
IS 3953-2:1993,Methods of test f,Textile,1993,74.018,Under Revision,technical textiles,"Applicable to technical textiles manufactured, teste"
IS 806-3:1992,Specification for,Electrotechnical,1992,56.034,Under Revision,power cables,"Applicable to power cables manufactured, tested, o"
IS 4128-5:2010,Safety requireme,"Petroleum, Coal",2010,73.024,Active,lubricants for eng,"Applicable to lubricants for engines manufactured,"
IS 2988-3:2004,Classification an,Electronics and I,2004,43.025,Active,biometric devices,"Applicable to biometric devices manufactured, teste"
IS 1271-2:2001,Guidelines for qu,Production and G,2001,72.013,Active,quality control sa,Applicable to quality control sampling methods man
IS 4118-5:2018,Sampling and tes,"Petroleum, Coal",2018,73.099,Active,lubricants for eng,"Applicable to lubricants for engines manufactured,"
IS 3834-6:2017,Performance req,Medical Equipme,2017,63.013,Active,surgical gloves,"Applicable to surgical gloves manufactured, tested,"
IS 376-5:1990,Sampling and tes,Mechanical Engi,1990,18.068,Active,compressors,"Applicable to compressors manufactured, tested, o"
IS 1260:2008,Code of practice,Production and G,2008,52.068,Withdrawn,industrial noise c,"Applicable to industrial noise control manufactured,"
IS 1910-4:2011,Quality requirem,Chemical,2011,21.071,Under Revision,fertilizers,"Applicable to fertilizers manufactured, tested, or so"
IS 3956-3:1994,Sampling and tes,Textile,1994,35.054,Active,surgical dressing,Applicable to surgical dressing materials manufactu
IS 799-2:1999,Specification for,Electrotechnical,1999,21.067,Active,electrical wiring a,Applicable to electrical wiring accessories manufac
IS 376-3:2008,Performance req,Mechanical Engi,2008,71.088,Active,bearings,"Applicable to bearings manufactured, tested, or sol"
IS 2997-4:1997,Guidelines for m,Electronics and I,1997,39.057,Active,mobile phone ch,Applicable to mobile phone chargers manufactured
IS 4034-6:2017,Performance req,Civil Engineering,2017,80.061,Active,earthquake resis,Applicable to earthquake resistant design manufact
IS 380-5:2002,Safety requireme,Mechanical Engi,2002,40.027,Active,industrial fastene,"Applicable to industrial fasteners manufactured, tes"
IS 3818-2:1995,Guidelines for X-,Medical Equipme,1995,76.016,Withdrawn,X-ray equipment,"Applicable to X-ray equipment manufactured, teste"
IS 349-6:2001,General requirem,Mechanical Engi,2001,68.068,Active,pumps for indust,Applicable to pumps for industrial use manufacture
IS 4074-2:2013,Performance req,Civil Engineering,2013,42.044,Active,structural steel fo,Applicable to structural steel for buildings manufact
IS 3792-6:2009,Safety requireme,Medical Equipme,2009,69.05,Under Revision,wheelchairs,"Applicable to wheelchairs manufactured, tested, or"
IS 847-6:2003,Sampling and tes,Electrotechnical,2003,84.086,Withdrawn,electric geysers,"Applicable to electric geysers manufactured, tested"
IS 348-3:1998,Specification for,Mechanical Engi,1998,53.055,Withdrawn,hand tools,"Applicable to hand tools manufactured, tested, or s"
IS 1765-4:2017,Quality requirem,Food and Agricu,2017,23.052,Withdrawn,salt for human co,Applicable to salt for human consumption manufact
IS 334-5:2016,Performance req,Mechanical Engi,2016,78.01,Active,conveyor system,"Applicable to conveyor systems manufactured, test"
IS 1258-5:2012,Code of practice,Production and G,2012,22.096,Active,material handling,Applicable to material handling equipment manufac
IS 1740:2010,Safety requireme,Food and Agricu,2010,23.075,Withdrawn,salt for human co,Applicable to salt for human consumption manufact
IS 3939-4:2017,Quality requirem,Textile,2017,36.05,Withdrawn,non-woven fabric,"Applicable to non-woven fabrics manufactured, test"
IS 1896-2:1991,Classification an,Chemical,1991,36.03,Withdrawn,dyes and pigmen,"Applicable to dyes and pigments manufactured, tes"
IS 3678:1994,Code of practice,Transport Engine,1994,71.037,Withdrawn,automotive batte,"Applicable to automotive batteries manufactured, te"
IS 449-3:2010,Code of practice,Management and,2010,17.058,Active,asset manageme,Applicable to asset management systems manufac
IS 2996-5:2006,Quality requirem,Electronics and I,2006,18.075,Withdrawn,set top boxes,"Applicable to set top boxes manufactured, tested, o"
IS 3020-5:1996,Sampling and tes,Electronics and I,1996,55.028,Under Revision,electronic point o,Applicable to electronic point of sale terminals man
IS 4034-2:2019,Specification for,Civil Engineering,2019,42.067,Active,structural steel fo,Applicable to structural steel for buildings manufact
IS 451:2014,Guidelines for fo,Management and,2014,65.049,Under Revision,food safety mana,Applicable to food safety management systems ma
IS 4046-2:2011,Specification for,Civil Engineering,2011,79.043,Under Revision,sanitary fittings,"Applicable to sanitary fittings manufactured, tested,"
IS 1908-2:2023,Quality requirem,Chemical,2023,29.038,Active,detergents and s,"Applicable to detergents and soaps manufactured,"
IS 356-5:2020,Code of practice,Mechanical Engi,2020,18.082,Active,compressors,"Applicable to compressors manufactured, tested, o"
IS 337-4:2021,Specification for,Mechanical Engi,2021,69.062,Under Revision,gears and gearbo,"Applicable to gears and gearboxes manufactured, t"
IS 1831-5:1998,Guidelines for irr,Water Resources,1998,46.015,Active,irrigation equipm,"Applicable to irrigation equipment manufactured, te"
IS 4058-4:1991,Guidelines for ce,Civil Engineering,1991,11.024,Active,cement,"Applicable to cement manufactured, tested, or sold"
IS 607-3:2020,Performance req,Metallurgical Eng,2020,96.091,Under Revision,pig iron,"Applicable to pig iron manufactured, tested, or sold"
IS 3016-5:2010,Performance req,Electronics and I,2010,18.024,Withdrawn,set top boxes,"Applicable to set top boxes manufactured, tested, o"
IS 4106-3:2010,General requirem,"Petroleum, Coal",2010,47.033,Withdrawn,biodiesel,"Applicable to biodiesel manufactured, tested, or sol"
IS 816:2022,Code of practice,Electrotechnical,2022,90.026,Under Revision,circuit breakers,"Applicable to circuit breakers manufactured, tested"
IS 3673-2:2017,Code of practice,Transport Engine,2017,49.012,Withdrawn,vehicle braking s,Applicable to vehicle braking systems manufacture
IS 448-6:2007,Quality requirem,Management and,2007,50.082,Active,information secu,Applicable to information security management ma
IS 4056-6:2013,Code of practice,Civil Engineering,2013,32.01,Under Revision,building lime,"Applicable to building lime manufactured, tested, or"
IS 831-4:2017,Methods of test f,Electrotechnical,2017,90.083,Under Revision,circuit breakers,"Applicable to circuit breakers manufactured, tested"
IS 4071-3:2022,Methods of test f,Civil Engineering,2022,32.088,Under Revision,building lime,"Applicable to building lime manufactured, tested, or"
IS 1252-5:2006,Code of practice,Production and G,2006,79.09,Active,industrial safety e,Applicable to industrial safety equipment manufactu
IS 3657-4:2001,Specification for,Transport Engine,2001,34.026,Under Revision,helmets for two w,Applicable to helmets for two wheelers manufacture
IS 1823-5:2000,Classification an,Water Resources,2000,65.09,Under Revision,groundwater rech,Applicable to groundwater recharge structures man
IS 3800-2:1997,General requirem,Medical Equipme,1997,33.015,Active,hospital beds,"Applicable to hospital beds manufactured, tested, o"
IS 3654:1990,Specification for,Transport Engine,1990,40.065,Active,automotive tyres,"Applicable to automotive tyres manufactured, teste"
IS 1893:1996,Specification for,Chemical,1996,27.042,Active,cosmetics,"Applicable to cosmetics manufactured, tested, or so"
IS 449:1994,Quality requirem,Management and,1994,35.065,Active,laboratory accred,Applicable to laboratory accreditation requirements
IS 1814-6:2009,Safety requireme,Water Resources,2009,30.095,Withdrawn,desalination equ,Applicable to desalination equipment manufactured
IS 461-3:1994,Methods of test f,Management and,1994,77.095,Under Revision,risk managemen,Applicable to risk management guidelines manufac
IS 1752:2016,General requirem,Food and Agricu,2016,44.028,Active,fruit and vegetab,Applicable to fruit and vegetable products manufac
IS 361-6:1993,Guidelines for be,Mechanical Engi,1993,71.039,Active,bearings,"Applicable to bearings manufactured, tested, or sol"
IS 3662:2010,Classification an,Transport Engine,2010,34.09,Under Revision,helmets for two w,Applicable to helmets for two wheelers manufacture
IS 1922-6:1991,Methods of test f,Chemical,1991,11.083,Active,plastics and poly,"Applicable to plastics and polymers manufactured,"
IS 3655-2:1999,Specification for,Transport Engine,1999,79.082,Active,vehicle safety be,"Applicable to vehicle safety belts manufactured, tes"
IS 1893-5:2022,Classification an,Chemical,2022,29.052,Active,detergents and s,"Applicable to detergents and soaps manufactured,"
IS 455-5:1998,Guidelines for ce,Management and,1998,42.043,Active,certification body,Applicable to certification body requirements manuf
IS 2979-2:1997,Specification for,Electronics and I,1997,12.064,Active,information techn,Applicable to information technology equipment saf
IS 1814-6:1995,Safety requireme,Water Resources,1995,30.095,Withdrawn,desalination equ,Applicable to desalination equipment manufactured
IS 456-4:1997,Methods of test f,Management and,1997,65.076,Under Revision,food safety mana,Applicable to food safety management systems ma
IS 3672:2022,Code of practice,Transport Engine,2022,34.072,Under Revision,helmets for two w,Applicable to helmets for two wheelers manufacture
IS 4121-2:2007,Sampling and tes,"Petroleum, Coal",2007,34.046,Withdrawn,bitumen,"Applicable to bitumen manufactured, tested, or sold"
IS 3927-2:2017,General requirem,Textile,2017,11.089,Active,denim fabric,"Applicable to denim fabric manufactured, tested, or"
IS 339-2:2005,Safety requireme,Mechanical Engi,2005,78.023,Active,conveyor system,"Applicable to conveyor systems manufactured, test"
IS 445-3:1990,Quality requirem,Management and,1990,46.095,Active,occupational hea,Applicable to occupational health and safety manag
IS 2992-5:2020,General requirem,Electronics and I,2020,30.037,Active,wireless commun,Applicable to wireless communication equipment m
IS 4056-4:2011,Quality requirem,Civil Engineering,2011,72.075,Under Revision,concrete mix des,"Applicable to concrete mix design manufactured, te"
IS 3804-2:1997,Classification an,Medical Equipme,1997,25.042,Active,dental equipmen,"Applicable to dental equipment manufactured, teste"
IS 603:2012,Sampling and tes,Metallurgical Eng,2012,13.065,Withdrawn,non-ferrous meta,Applicable to non-ferrous metal castings manufactu
IS 1238-5:2002,Safety requireme,Production and G,2002,22.086,Active,material handling,Applicable to material handling equipment manufac
IS 4130:2012,Safety requireme,"Petroleum, Coal",2012,73.023,Under Revision,coal and coke,"Applicable to coal and coke manufactured, tested, o"
IS 462-2:2021,Sampling and tes,Management and,2021,25.072,Withdrawn,energy managem,Applicable to energy management systems manufa
IS 350:2022,General requirem,Mechanical Engi,2022,65.063,Active,valves,"Applicable to valves manufactured, tested, or sold i"
IS 1752-5:2014,Code of practice,Food and Agricu,2014,10.06,Active,edible vegetable,"Applicable to edible vegetable oils manufactured, te"
IS 1265-4:2011,Quality requirem,Production and G,2011,52.085,Withdrawn,industrial noise c,"Applicable to industrial noise control manufactured,"
IS 3831:1998,Methods of test f,Medical Equipme,1998,93.025,Active,orthopedic impla,"Applicable to orthopedic implants manufactured, te"
IS 1845:1992,Performance req,Water Resources,1992,59.093,Active,water quality for,Applicable to water quality for drinking purposes ma
IS 470-4:2001,Sampling and tes,Management and,2001,63.098,Active,records managem,Applicable to records management practices manu
IS 3001-2:1995,Guidelines for se,Electronics and I,1995,18.035,Withdrawn,set top boxes,"Applicable to set top boxes manufactured, tested, o"
IS 4118:1992,Methods of test f,"Petroleum, Coal",1992,60.079,Active,kerosene,"Applicable to kerosene manufactured, tested, or so"
IS 3684:2000,Methods of test f,Transport Engine,2000,40.04,Active,automotive tyres,"Applicable to automotive tyres manufactured, teste"
IS 1261-2:2023,Code of practice,Production and G,2023,72.035,Active,quality control sa,Applicable to quality control sampling methods man
IS 438-6:2021,General requirem,Management and,2021,50.058,Active,information secu,Applicable to information security management ma
IS 3832-6:1997,Sampling and tes,Medical Equipme,1997,69.065,Under Revision,wheelchairs,"Applicable to wheelchairs manufactured, tested, or"
IS 1254-3:1990,General requirem,Production and G,1990,27.019,Under Revision,storage racking s,Applicable to storage racking systems manufacture
IS 3913-4:2007,Specification for,Textile,2007,86.042,Under Revision,textile dyeing me,"Applicable to textile dyeing methods manufactured,"
IS 1924-6:2019,Sampling and tes,Chemical,2019,37.087,Active,industrial adhesiv,"Applicable to industrial adhesives manufactured, te"
IS 2993-2:2023,Quality requirem,Electronics and I,2023,31.087,Active,power adapters,"Applicable to power adapters manufactured, tested"
IS 4099-4:2019,Classification an,"Petroleum, Coal",2019,36.037,Active,industrial waxes,"Applicable to industrial waxes manufactured, tested"
IS 3693-6:1991,Guidelines for air,Transport Engine,1991,49.022,Withdrawn,aircraft ground eq,Applicable to aircraft ground equipment manufactur
IS 3688:2000,Guidelines for au,Transport Engine,2000,71.084,Withdrawn,automotive batte,"Applicable to automotive batteries manufactured, te"
IS 1895:1996,Classification an,Chemical,1996,21.069,Under Revision,fertilizers,"Applicable to fertilizers manufactured, tested, or so"
IS 3685-6:2019,Quality requirem,Transport Engine,2019,53.07,Active,commercial vehic,Applicable to commercial vehicle bodies manufactu
IS 835-6:2005,Sampling and tes,Electrotechnical,2005,73.044,Active,switches and soc,"Applicable to switches and sockets manufactured, t"
IS 3698-3:2008,Methods of test f,Transport Engine,2008,49.086,Withdrawn,aircraft ground eq,Applicable to aircraft ground equipment manufactur
IS 820-3:2010,Quality requirem,Electrotechnical,2010,73.083,Active,switches and soc,"Applicable to switches and sockets manufactured, t"
IS 1269-2:2021,Quality requirem,Production and G,2021,30.065,Under Revision,engineering draw,Applicable to engineering drawing practices manufa
IS 1737-6:2023,Performance req,Food and Agricu,2023,62.054,Active,wheat flour,"Applicable to wheat flour manufactured, tested, or s"
IS 432-4:1999,Specification for,Management and,1999,66.096,Withdrawn,business continu,Applicable to business continuity management man
IS 1759-2:2009,General requirem,Food and Agricu,2009,19.047,Under Revision,food colours,"Applicable to food colours manufactured, tested, or"
IS 3941-2:2001,Methods of test f,Textile,2001,32.065,Active,woven fabrics,"Applicable to woven fabrics manufactured, tested, o"
IS 463-3:2008,Sampling and tes,Management and,2008,50.013,Active,information secu,Applicable to information security management ma
IS 4065-5:1998,Guidelines for re,Civil Engineering,1998,86.029,Active,reinforcement ba,"Applicable to reinforcement bars manufactured, tes"
IS 4041-3:2006,Specification for,Civil Engineering,2006,32.084,Under Revision,building lime,"Applicable to building lime manufactured, tested, or"
IS 843-6:1997,Performance req,Electrotechnical,1997,17.028,Active,transformers,"Applicable to transformers manufactured, tested, or"
IS 1758:1994,General requirem,Food and Agricu,1994,36.086,Active,pulses,"Applicable to pulses manufactured, tested, or sold"
IS 1936-4:2021,Performance req,Chemical,2021,50.092,Withdrawn,lubricating oils,"Applicable to lubricating oils manufactured, tested,"
IS 3685-2:2021,Methods of test f,Transport Engine,2021,79.039,Active,vehicle safety be,"Applicable to vehicle safety belts manufactured, tes"
IS 1745-2:1991,Classification an,Food and Agricu,1991,96.024,Withdrawn,tea,"Applicable to tea manufactured, tested, or sold in In"
IS 452-4:2011,Quality requirem,Management and,2011,66.073,Withdrawn,business continu,Applicable to business continuity management man
IS 1898-6:1995,Specification for,Chemical,1995,19.083,Active,cleaning agents,"Applicable to cleaning agents manufactured, tested"
IS 1275-2:2021,Sampling and tes,Production and G,2021,86.086,Withdrawn,industrial gloves,"Applicable to industrial gloves manufactured, tested"
IS 1928-6:1997,Methods of test f,Chemical,1997,19.016,Active,cleaning agents,"Applicable to cleaning agents manufactured, tested"
IS 838-3:2008,Sampling and tes,Electrotechnical,2008,17.061,Active,transformers,"Applicable to transformers manufactured, tested, or"
IS 431-3:1992,Specification for,Management and,1992,77.088,Under Revision,risk managemen,Applicable to risk management guidelines manufac
IS 568-2:1991,Classification an,Metallurgical Eng,1991,40.073,Withdrawn,galvanized steel,"Applicable to galvanized steel manufactured, tested"
IS 1896-6:2015,Safety requireme,Chemical,2015,16.041,Withdrawn,petrochemical int,Applicable to petrochemical intermediates manufac
IS 1914-6:1993,Guidelines for ind,Chemical,1993,37.016,Active,industrial adhesiv,"Applicable to industrial adhesives manufactured, te"
IS 1852-4:1995,Sampling and tes,Water Resources,1995,98.069,Active,dam safety inspe,"Applicable to dam safety inspection manufactured,"
IS 585-3:1996,Code of practice,Metallurgical Eng,1996,34.061,Active,steel tubes and p,"Applicable to steel tubes and pipes manufactured, t"
IS 3935-2:2009,Code of practice,Textile,2009,99.091,Active,textile testing me,"Applicable to textile testing methods manufactured,"
IS 3663-2:2011,Classification an,Transport Engine,2011,49.056,Withdrawn,vehicle braking s,Applicable to vehicle braking systems manufacture
IS 4037-5:2008,Specification for,Civil Engineering,2008,81.078,Withdrawn,waterproofing co,Applicable to waterproofing compounds manufactu
IS 3936-3:2010,Code of practice,Textile,2010,35.017,Active,surgical dressing,Applicable to surgical dressing materials manufactu
IS 2974-3:2000,Specification for,Electronics and I,2000,74.044,Active,printed circuit bo,"Applicable to printed circuit boards manufactured, t"
IS 1820-4:2005,Code of practice,Water Resources,2005,59.063,Active,water quality for,Applicable to water quality for drinking purposes ma
IS 1831-5:2012,Guidelines for irr,Water Resources,2012,46.015,Active,irrigation equipm,"Applicable to irrigation equipment manufactured, te"
IS 3950-5:2010,Methods of test f,Textile,2010,99.044,Active,textile testing me,"Applicable to textile testing methods manufactured,"
IS 2983-2:1997,General requirem,Electronics and I,1997,31.022,Active,power adapters,"Applicable to power adapters manufactured, tested"
IS 361-2:2009,Quality requirem,Mechanical Engi,2009,18.035,Active,compressors,"Applicable to compressors manufactured, tested, o"
IS 3823:2000,Guidelines for ho,Medical Equipme,2000,67.051,Withdrawn,hospital furniture,"Applicable to hospital furniture manufactured, teste"
IS 1270-3:2016,Quality requirem,Production and G,2016,60.063,Withdrawn,industrial packag,Applicable to industrial packaging crates manufactu
IS 337-6:2023,Safety requireme,Mechanical Engi,2023,72.057,Under Revision,welding electrode,"Applicable to welding electrodes manufactured, tes"
IS 1247-6:2015,Specification for,Production and G,2015,99.022,Active,dimensional toler,Applicable to dimensional tolerances manufactured
IS 1741-2:1991,Safety requireme,Food and Agricu,1991,44.08,Active,honey,"Applicable to honey manufactured, tested, or sold i"
IS 832-3:2002,Quality requirem,Electrotechnical,2002,84.018,Withdrawn,electric geysers,"Applicable to electric geysers manufactured, tested"
IS 4071:1992,Sampling and tes,Civil Engineering,1992,72.01,Under Revision,concrete mix des,"Applicable to concrete mix design manufactured, te"
IS 1238-5:2022,Safety requireme,Production and G,2022,22.086,Active,material handling,Applicable to material handling equipment manufac
IS 463-5:2004,Methods of test f,Management and,2004,82.012,Active,social accountab,Applicable to social accountability requirements ma
IS 3911-2:1991,Specification for,Textile,1991,32.038,Active,woven fabrics,"Applicable to woven fabrics manufactured, tested, o"
IS 3935-2:2023,Code of practice,Textile,2023,99.091,Active,textile testing me,"Applicable to textile testing methods manufactured,"
IS 812:1996,Classification an,Electrotechnical,1996,96.086,Withdrawn,batteries and cel,"Applicable to batteries and cells manufactured, test"
IS 1242-5:2022,Classification an,Production and G,2022,79.049,Active,industrial safety e,Applicable to industrial safety equipment manufactu
IS 3008:2006,Methods of test f,Electronics and I,2006,96.047,Active,USB cables and,Applicable to USB cables and connectors manufac
IS 1888-6:2023,Performance req,Chemical,2023,19.098,Active,cleaning agents,"Applicable to cleaning agents manufactured, tested"
IS 567-5:2014,Safety requireme,Metallurgical Eng,2014,59.059,Under Revision,metal coatings,"Applicable to metal coatings manufactured, tested,"
IS 3807:2008,Code of practice,Medical Equipme,2008,41.034,Under Revision,blood pressure m,Applicable to blood pressure monitors manufacture
IS 2985-4:2013,General requirem,Electronics and I,2013,96.077,Under Revision,LED lighting prod,"Applicable to LED lighting products manufactured,"
IS 2997-2:1995,Code of practice,Electronics and I,1995,30.079,Active,wireless commun,Applicable to wireless communication equipment m
IS 1807-3:2000,Specification for,Water Resources,2000,93.021,Active,water meters,"Applicable to water meters manufactured, tested, o"
IS 569-3:1992,Classification an,Metallurgical Eng,1992,98.031,Active,copper wire rods,"Applicable to copper wire rods manufactured, teste"
IS 1744-5:2014,Safety requireme,Food and Agricu,2014,19.042,Under Revision,food colours,"Applicable to food colours manufactured, tested, or"
IS 1931-3:2000,Methods of test f,Chemical,2000,16.074,Withdrawn,petrochemical int,Applicable to petrochemical intermediates manufac
IS 1270:2020,Guidelines for ind,Production and G,2020,52.062,Withdrawn,industrial noise c,"Applicable to industrial noise control manufactured,"
IS 4071:2006,Sampling and tes,Civil Engineering,2006,72.01,Under Revision,concrete mix des,"Applicable to concrete mix design manufactured, te"
IS 3828-2:2007,Sampling and tes,Medical Equipme,2007,76.099,Withdrawn,X-ray equipment,"Applicable to X-ray equipment manufactured, teste"
IS 1935-3:2020,Performance req,Chemical,2020,70.046,Under Revision,rubber products,"Applicable to rubber products manufactured, tested"
IS 1262-5:1998,Guidelines for ind,Production and G,1998,79.011,Active,industrial safety e,Applicable to industrial safety equipment manufactu
IS 831-4:2023,Methods of test f,Electrotechnical,2023,90.083,Under Revision,circuit breakers,"Applicable to circuit breakers manufactured, tested"
IS 376:2006,Methods of test f,Mechanical Engi,2006,94.087,Active,boilers,"Applicable to boilers manufactured, tested, or sold"
IS 1741-2:2011,Safety requireme,Food and Agricu,2011,44.08,Active,honey,"Applicable to honey manufactured, tested, or sold i"
IS 1243-6:1995,Classification an,Production and G,1995,85.015,Active,fire extinguishers,"Applicable to fire extinguishers manufactured, teste"
IS 1257-2:2003,Quality requirem,Production and G,2003,79.041,Active,industrial safety e,Applicable to industrial safety equipment manufactu
IS 575-3:2004,Classification an,Metallurgical Eng,2004,34.069,Active,steel tubes and p,"Applicable to steel tubes and pipes manufactured, t"
IS 4088-3:2012,Safety requireme,"Petroleum, Coal",2012,12.039,Active,transformer oil,"Applicable to transformer oil manufactured, tested,"
IS 562-6:2003,Safety requireme,Metallurgical Eng,2003,96.089,Under Revision,pig iron,"Applicable to pig iron manufactured, tested, or sold"
IS 4042-4:1999,Specification for,Civil Engineering,1999,42.033,Withdrawn,tiles and flooring,"Applicable to tiles and flooring manufactured, tested"
IS 3698-5:2010,Performance req,Transport Engine,2010,49.046,Withdrawn,vehicle braking s,Applicable to vehicle braking systems manufacture
